n,Straightforward_double,Iterative_double,Delta_double,Straightforward_float,Iterative_float,Delta_float
678,4938784647957993471722182479043322571750140396034016006760607913899797311570077326729790897712831114398428124574103278733834545844612893769728.000000,4938784647957883133548319761069174309662246030154216168078164979792924072270360485110364062513476740416935210816478797589453025145831613792256.000000,110338173862717974148262087894365879799838682442934106873239299716841619426835199354373981492913757624481144381520698781279977472.000000,inf,inf,nan
679,7991121423512217202523302432304877821233583890880201850900942495479912360445077191080404848631183741550270495351836634828904814962222196326400.000000,7991121423512038495296923551659631556256871543688378799292568663552215825628357889316425189167198743199877064480592076411010818247631656976384.000000,178707226378880645246264976712347191823051608373831927696534816719301763979659463984998350393430871244558417893996714590539350016.000000,inf,inf,nan
680,12929906071470211351166796952562765719744999712471762641947945764803678219495520878801725972326832980942450110194391597496140474430753993654272.000000,12929906071469921628845243312728805865919117573842594967370733643345139897898718374426789251680675483616812275297070874000463843393463270768640.000000,289722321553639833959853825882138629167674577212121458538321596802504374936720646157497325637834897320723495676631037290722885632.000000,inf,inf,nan
681,20921027494982429907532723467296774194501134454467054061421678971131527674901330791865191272923652972480223586083131600191847516640813997096960.000000,20921027494981958770299542781959306768653438266415884198090511596049418628566343541760153988882237976829186359240759582544672434393257120628736.000000,471137233180685337467425847696188051169863331167375082109046334987250105037284041414995651037226842372017647175082247556876468224.000000,inf,inf,nan
682,33850933566452643966384768584717801221291235869168995840515206157631080084318317114633038149181758453397679657351329933421592445567243604983808.000000,33850933566451880399144786094688112634572555840258479165461245239394558526465061916186943240562913460445998634537830456545136277786720391397376.000000,763567239982490029688586718680028910516675053960918236521557853255198446094908618844992951681022813499476876456167780523213586432.000000,inf,inf,nan
683,54771961061435079289287988381731098029882573728096408176228047972154356139062578794430471229967956425827915165582075005080648871199408830545920.000000,54771961061433844584814825206363942017316197511134721637842919678835725534874336345879339037307696437225196915926203510557017621171328740491264.000000,1234704473163175367156012566376216961686538385128293318630604188242448551132192660259988602718249655871494523631250028080090054656.000000,inf,inf,nan
684,88622894627887723255672756966448899251173809597265404016743254129785436223380895909063509379149714879225594822933404938502241316766652435529728.000000,88622894627885719568589114971335532037798549946932842529013002074838535681496467374134040470008064897721183628316420495634944989966697903423488.000000,2003687083641995113367213375259650332561487730252054946900541884428534929468909141649981504411194616984442867296326799954532106240.000000,inf,inf,nan
685,143394855689322813375701738007613042509236790134282528741553627788723289122129336479358464224842761304953533832810706886517308005948763723005952.000000,143394855689319564153403940177699474055114747458067564166855921753674261216370803720013379507315761334946380544242624006191962611138026643914752.000000,3249222297797829913568454122042676214964574697706035049027905758532759345084717526999970007153288568082880325345394810737079091200.000000,inf,inf,nan
686,232017750317210525800633502314628896532230192922627216209714556231725228585824370612557489988267386184279104811448884882085131504732713701605376.000000,232017750317205283721993055149035006092913297405000406695868923828512796897867271094147419977323826232667564172559044501826907601104724547338240.000000,5242078640447165593890439316895517626809513845632403212431687957099518410070010943559951611540638889840380258223903627989154267136.000000,inf,inf,nan
687,375412606006533382499299210959974119954188610292592611145597486767582504746697154195373888676010507488832734021440499540340110782612287252332544.000000,375412606006524847875396995326734480148028044863067970862724845582187058114238074814160799484639587567613944716801668508018870212242751191252992.000000,8534623902215633239639806160565429524640282872641185395446632459079381213089191370919921218789304638831032321240570369536061079552.000000,inf,inf,nan
688,607430356323743951622896683912335197399140430450902693549641345746441720371264971911389313127178253672711934210070292194162913559275810781659136.000000,607430356323730174920354021113501667153662969503751243752923072157833842050848793011766153924863773799881604266541620781583449085278285566312448.000000,13776702542662798833530245477460947151449796718273588607878320416178899623159202314479872830329943528671412579464473997525215346688.000000,inf,inf,nan
689,982842962330277290799231924234577136440607413507812438500909529766890238079218679003305267340288401161944572854329883962765353069957288206270464.000000,982842962330254936149823075164771785476247759895453482226989312245752926087599973619011084483702641368295358228981473746126976753659417102123008.000000,22354649408849069805350964359653612358956273920217521137311991618705384294182856585759793649214625348410216638376316297871104147456.000000,inf,inf,nan
690,1590273318654021329068056549422376695665191098430080864439209481007599932527970545121610449393267374833856697818761991700403609173094718643372032.000000,1590273318653984937778321213727344728979024220456473261202595173415050819983474978216945500556964975169776580986799463440759740751214463357550592.000000,36391289735335695031966686166877973607603236614307592549112544495566904664948836302399664080116831962528259643868421880255285821440.000000,inf,inf,nan
691,2573116280984298793159144356207882555756685020880624767717436221763026118762163012538747454585157215994201652181815506750119647330775246160527360.000000,2573116280984239873928144288892116514455271980351926743429584485660803746071074951835956585040667616538071939215780937186886717504873880459673600.000000,58919231000067315766041301413040528698024287851736102222372691088060702790869544489599456129712966034569563232929825901365700853760.000000,inf,inf,nan
692,4163389599638320468810912670732116698723649137196168561711280124747697947600081134488021379681627470824859113018024760624424626679316443425669120.000000,4163389599638224811706465502619461243434296200808400004632179659075854566054549930052902085597632591707848520202580400627646458256088343817224192.000000,95657104447168112655455289352936387768557079100465671843381545531204435119294083994879117010592815444359996778168423228099608444928.000000,inf,inf,nan
693,6736505880622619261970057026939999254480334158076793329428716346510724066362244147026768834266784686819060765199840267374544274010091689586196480.000000,6736505880622465378802033321715292652493114216931252607171032988690802104745520035544185622044705968239521985453255862162335916111855181520437248.000000,153883168023705224706601987219941145540722257683357819921961616724111482583212222078718579538779746584405212208357898236508065759232.000000,inf,inf,nan
694,10899895480260940423948393227875830847807529331043887750249265315212565806582220435170117165354817917637521404252759552346771641040301090255405056.000000,10899895480260689497341075294131039001323864381968726752693943803812512878180174811941760756235932799953768979620941738442179634017050568094121984.000000,250926607317933744791846483664949075160997555321511400052928402045623228356409118885117683752424631817813904592007023250522161283072.000000,inf,inf,nan
695,17636401360883559685918450254815830102287863489120681079677981661723289872944464582196885999621602604456582169452599819721315915050392779841601536.000000,17636401360883154876143108615846331653816978598899979359864976792503314982925694847485946378280638768193290965074197600604515550128905749614559232.000000,404809775341638969498448470884890220701719813004869219974890018769734710939621340963836263291204378402219116800364921487030227042304.000000,inf,inf,nan
696,28536296841144501496201690543099090739302484891706420548145784664844143264766475324677657067789232042081306625775148420763693036792479784584085504.000000,28536296841143847146153878030792230233555027123952409548995995972132403031585450274049014940142194608121466048834717436437906145549528146682839040.000000,654350047812512306860505747457767754010999149788692711740233181025050628642127647037433959840576940430984325786891242951637901246464.000000,inf,inf,nan
697,46172698202028066727459529039544639998418716666994508500697917078200583478670101136117158678662080726486701003506904435267430874650016222374002688.000000,46172698202027002022296986646638561887372005722852388908860972764635718014511145121534961318422833376314757013908915037042421695678433896297398272.000000,1064705162542392906078111046710944142119591836944313564865464158956014582197360239247350171943989597989398225009178971582326076604416.000000,inf,inf,nan
698,74708995043172568223661219582643730737721201558700929048843701743044726743436576460794815746451312768568007629282052856031123911442496006958088192.000000,74708995043170849168450864677430792120927032846804798457856968736768121046096595395583976258565027984436223062743632473480327841227962042980237312.000000,1719055210354905212938616794168711896130590986733006276605697339981065210839487886284784131784566538420382550796070214533963977850880.000000,inf,inf,nan
699,120881693245200646041799525105447809049796654798030251295289920324511610904025000055397205647615885654952333049347269680863398631706799545228722176.000000,120881693245197851190747851324069354008299038569657187366717941501403839060607740517118937576987861360750980076652547510522749536906395939277635584.000000,2794851051673781378455041497616228373063928571978823107771843417259538278268070628024294201352972694722170340649094800403605951086592.000000,inf,inf,nan
700,195590688288373225356139521171350978101174592929065994089881923570822638329379898974677252616569690583417965095187634926459366388763582868083441664.000000,195590688288368700359198716001500146129226071416461985824574910238171960106704335912702913835552889345187203139396179984003077378134357982257872896.000000,4524996940805169850831971948521512604008265307013332650678222675563061974338781016801238230761955791454942456289010629224885825568768.000000,inf,inf,nan
701,316472381533573871397939046276798787150971247727096245385171843895334249233404899030074458264185576238370298144534904607322765020470382413312163840.000000,316472381533566551549946567325569500137525109986119173191292851739575799167312076429821851412540750705938183216048727494525826915040753921535508480.000000,7319847992478951229287013446137740977072193878992155758450066092822600252606851644825532432114928486177112796938105429628491776655360.000000,inf,inf,nan
702,512063069821947118935436120414668641879459313800831866966550370472689488926621442921722173325760251141583512072839164312911819100462539913188868096.000000,512063069821935229727787730360550769639437708257911531524371158971215157910179767425554302803088655731330137522328282699399216601946537272000118784.000000,11889207648390054117872240021605542920335442179211501474331016441675496167870522671595410253374550510881613512602498516002641188749312.000000,inf,inf,nan
703,828535451355521079058805378557542935539684454106606622317708626394154143615372921619678481369965764659134805549840568036753334885847220853674082304.000000,828535451355501736915019191753082516522335871954691449732670804697725754349818554021435229325619437797677823072143760635665668134530141929949102080.000000,19342143786186804460419017348582151915172585037821696428389265554367598243252044346326861456982477696807401087666751317078923724980224.000000,inf,inf,nan
704,1340598521177468197994241498972211577419143767907438489284258996866843632541994364541400654695726015800718317622679732349665153986309760766862950400.000000,1340598521177436966642806922113633286161773580212602981257041963668940912259998321446989532128708093529007960594472043335064884736476679201949220864.000000,31231351434576858578291257370187694835508027217033197902720281996043094411122567017922271710357028207689014600269249833081564913729536.000000,inf,inf,nan
705,2169133972532989277053046877529754512958828222014045111601967623260997776157367286161079136065691780459853123172520300386418488872156981620537032704.000000,2169133972532938526106965690134564789665601667009937411057739944314405855699123716132661061894287656768323793001682805737693051341178224077552222208.000000,50750946081187395189723293226555004107700544227678946591920458243570028418074171404123691529330170837494648725437530978757542984810496.000000,inf,inf,nan
706,3509732493710457475047288376501966090377971989921483600886226620127841408699361650702479790761417796260571440795200032736083642858466742387399983104.000000,3509732493710375847651493459712500101864390817537254432178727556087868389780508356251177993143075499414055734926020845538832939137312097388193644544.000000,81627395794916789465988513581172384229168707499064039973018918853294451301797618342296846515705869179187197250703721154644999206338560.000000,inf,inf,nan
707,5678866466243447107002056101496022629373815782250242752352139891493360806678115255535086325947189325837148545297586329588577134790280918116629217280.000000,5678866466243314373758459149847064891529992484547191843236467500402274245479632072383839055037363156182379527927703651276525990478490321465745866752.000000,132733243596951648957737843823297703050909115672391091086561198483183151247270909826169654769017369882678312051144311790596650883350528.000000,inf,inf,nan
708,9188598959953905291852786172926592771825818912801154432966257807830245459020249543580620914948766620331167948752518355256810783768062048721413603328.000000,9188598959953689511606510914630960941320352161455018195687303760281099391617367791291962249940279157362987300193992503883208923496488030636555108352.000000,215780246275258295631830505466751346136237278954047549146067402881752288658665008487462968180648558525851373601860271574018084858494976.000000,inf,inf,nan
709,14867465426197352398854842274422615401199634695051397185318397699323606265698364799115707240895955946168316494050104684845387918558342966838042820608.000000,14867465426197003175561528369549421780776313505372781959195879964474330393454227226332746506737482815311918865461964162227584907855663963884916572160.000000,349223293313904873193620423321189678615226122517734849275872244137572782960734158473130856397628588140522617803010702679002953126248448.000000,inf,inf,nan
710,24056064386151260529921395227063624381321578170370263937196220691990024699289704892068547348805360559433276293441551011830798726803662568428994035712.000000,24056064386150692687168039284180382722096665666827800154883183724755429785071595017624708756677761972674906165655956666110793831352151994521471680512.000000,567842753355942883241659224912503542463782313036967234594914218109874443838592127598586758370127785594345720004895451510573907522355200.000000,inf,inf,nan
711,38923529812348615767990004281200655990817337427939373441426183576149803939559160240556473782661954498535384638130583668404786669839263088136574468096.000000,38923529812347695862729567653729804502872979172200582114079063689229760178525822243957455263415244787986825031117920828338378739207815958406388252672.000000,919905260436627470851487944358255738791327347119886920043761033337996599018519246709710548559607012662840066407930631447129730186215424.000000,inf,inf,nan
712,62979594198499876297911399508264280372138915598309637378622404268139828638848865132625021131467315057968660931572134680235585396642925656565568503808.000000,62979594198498388549897606937910187224969644839028382268962247413985189963597417261582164020093006760661731196773877494449172570559967952927859933184.000000,1487748013792570354093147169270759281255109660156854154638675251447871042857111374308297306929734798257185786412826082957703637708570624.000000,inf,inf,nan
713,101903124010848497744328937348893768779548502151284435457871718213961978527550206471925933300050545542371629270980574292097572115436703850441218195456.000000,101903124010846078734199641032211159311250374886193539745218180733542604192981058406795180897586975562780972526613942379330351260813268805595172962304.000000,2419010129296316682609468298127265090895712653537480419374334569148065130752402463569979590656744366631912767220854623435044846045233152.000000,inf,inf,nan
714,164882718209348374042240336857158049151687417749594072836494122482101807166399071604550954431517860600340290202552708972333157512079629507006786699264.000000,164882718209344467284097247970121346536220019725221922014180428147527794156578475668377344917679982323442703723387819873779523831373236758523032895488.000000,3906758143088887036702615467398024372150822313694334574013009820595936173609513837878276897586479164889098553633680706392748483753803776.000000,inf,inf,nan
715,266785842220196905857134475562624812430789414651091056121304622914097861388802364668943518047096062057917421681200418925173929921243423991882456236032.000000,266785842220190546018296889002332505847470394611415461759398608881070398349559534075172525815266957886223676250001762253109875092186505564118205857792.000000,6359838837586560292306583319020039675594361906014033027463039242830593770992231829104171693745431198656672064054829056918427764250378240.000000,inf,inf,nan
716,431668560429545325326795080895213520915214825400968526060383788353578436148338885063449979565984130545198381493975975445164687824959174344801844723712.000000,431668560429535058729814405447884511716428407336920780876164079985976960099275458533505377820317148096607049583612429674546999315195863168553840541696.000000,10266596980675447329009198786418064047745184219708367601476049063426529944601745666982448591331910363545770617688509763311176248004182016.000000,inf,inf,nan
717,698454402649742231183929556457838333346004240052059582181688411267676297537141249732393497613080192603115803175176394370338617746202598336684300959744.000000,698454402649725604748111294450217017563898801948336242635562688867047358448834992608677903635584105982830725833614191927656874407382368732672046399488.000000,16626435818262007621315782105438103723339546125722400628939088306257123715593977496086620285077341562202442681743338820229604012254560256.000000,inf,inf,nan
718,1130122963079287556510724637353051854261219065453028108242072199621254733685480134795843477179064323148314184669152369815503305571161772681486145683456.000000,1130122963079260663477925699898101529280327209285257023511726768853024318548110451142183281455901254079437775417226621602203873722578231901225886941184.000000,26893032798937454950324980891856167771084730345430768230415137369683653660195723163069068876409251925748213299431848583540780260258742272.000000,inf,inf,nan
719,1828577365729029878549494730761751506272699291505654484628930696803688566408896282108147988966884931525311327064774459281157124100636612709995650220032.000000,1828577365728986268226036994348318546844226011233593266147289457720071676996945443750861185091485360062268501250840813529860748129960600633897933340672.000000,43610323457736413432959428473280272061218481641239083616889411950838357286803875399571463042825813933645751296375970676012076097716879360.000000,inf,inf,nan
720,2958700328808317435060219368114803360533918356958682592871002896424943300094376416903991466145949254673625511733926829096660429671798385391481795903488.000000,2958700328808246931703962694246420076124553220518850289659016226573095995545055894893044466547386614141706276668067435132064621852538832535123820281856.000000,70503356256673868383284409365136439832303211986669851847304549320522010946999598562640531919235065859393964595807819259552856357975621632.000000,inf,inf,nan
721,4787277694537347677029076246680000141468521592466604254320613936887662007248372289331783511811795849294462195680484068759078356905523964868778260430848.000000,4787277694537233563349361836398183897630683175754710732626986027952197813287100928963549708337833637299500134800691029043186173115588399936322567929856.000000,114113679714410281816243837838416711893521693627908935464193961271360368233803473962211994962060879793039715892183789935564932455692500992.000000,inf,inf,nan
722,7745978023345665838928019910401694051326247837429821200832977520630665588832947886875063091355668430159138421177976458618260392843500283794861684948992.000000,7745978023345479768214600235037713424431428508269026668644641567207233527341957643217306061487296925250155697705192903412729188701949298936844759597056.000000,186070713419675363980626894819329160794532188335953423432061490990243657757029868371504908982723472783555205531204141550984858016925351936.000000,inf,inf,nan
723,12533255717883014242795820452688584742118577317900959808794952144836387877571519356846134716565387605644651330622026088139860356015202182198241573994496.000000,12533255717882713331563962071435897322062111684023737401271627595159431340629058572180855769825130562549655832505883932455915361817537698873167327526912.000000,300911231858381252687420056465633877222407523324549676956536942460784665278946740257043094995498116142155683944994197664483325074246467584.000000,inf,inf,nan
724,20279233741228680081723840363090278793444825155330781009627929665467053466404467243721197807921056035803789751800002546758120748858702465993103258943488.000000,20279233741228194553456010897687391845141155968301832777198990537002785430951414576676738058108274140181912957738207957393687763051842864879215344353280.000000,485528267829465402886948303669187028948232428939128464268035453052667044459749812781895621876794061794589364432985806859601113887914590208.000000,inf,inf,nan
725,32812489459111694324519660815778863535563402473231740818422881810303441343975986600567332524486443641448441082422028634897981104873904648191344832937984.000000,32812489459110909338697421560337070265850883428334638885753339506798337334560871510136170054729251355113670217771223011374646337401736430821585929109504.000000,784985822239255441793269712519044897101932669542303505104009415115090431162469757192286334770864650805623523334767472168217369758903828480.000000,inf,inf,nan
726,53091723200340383128308192726151828920893922284616934071747139723587218188262844011959987693182579591544839399384817910806361128926742316599667635257344.000000,53091723200339103892153432458024462110992039396636471662952330043801122765512286086812908112837525495295583175509430968768334100453579295700801273462784.000000,1279236154760268127366809901882887980462408794809679786095422750557925147079580345054096249256223875386942038027028473163020898866361794560.000000,inf,inf,nan
727,85904212659452083267537647906785816851047787861884949719300907032435141784160424057641625124852409842521686191915371031804515083930070433067825497112576.000000,85904212659450013230850854018361532376842922824971110548705669550599460100073157596949078167566776850409253393280653980142980437855315726522387202572288.000000,2070036686793888424284474204865036913839170595237481835681684087266460692546957285632992112432798634717051661534646074754706545438294540288.000000,inf,inf,nan
728,138995935859792466395845840632937645771941710146501883791048046756022359972423268069601612818034989434066525591300188942610876212856812749667493132369920.000000,138995935859789117123004286476385994487834962221607582211657999594400582865585443683761986280404302345704836568790084948911314538308895022223188476035072.000000,3349272841554156551651284106747924894301579390047161621777106837824385839626537630687088361689022510103993699561674547917727444304656334848.000000,inf,inf,nan
729,224900148519244561292803077269433711412170424216459383168610724785546466260426879017471847757254172495645023203432608946615736997045730119288944687316992.000000,224900148519239118724435551765037278075496958838506143102101898147911078461815414390482454633604305977057278541853689956853949275905363812191949620772864.000000,5442568367525504396433336673465377953240066508826637635387798611464626989393123649866518587744661578918989761787721140366307096995066544128.000000,inf,inf,nan
730,363896084379037050947488095361791854762473986779106366276182313535746755240536520867530680204022708367825171635166895833627304610420236742063689935355904.000000,363896084379028259106279015700843770141693773476258824630283439736489590335087231854701660542742154760875737951077872850165955214731952707522390212476928.000000,8791841209079660948084620780213302847541645898873799257164905449289012829019661280553606949433684089022983461349395688284034541299722878976.000000,inf,inf,nan
731,588796232898281612240291172631225566174644410995565749444793038321293221500963399885002527961276880863470194838599504780243041607465966861352634622672896.000000,588796232898267377830714567465881048217190732314764967732385337884400668796902646245184115176346460737933016492931562807019904490637316519714339833249792.000000,14234409576605165344517957453678680800781712407700436892552704060753639818412784930420125537178345667941973223137116828650341638294789423104.000000,inf,inf,nan
732,952692317277318709705457622911858416093842102606962314354022435845395834756872668313447647422766682107522612154634596502671729018921591349630828789366784.000000,952692317277295636936993583166724818358884505791023792362668777620890259131989878099885775719088615498808754444009435657185859705369269227236730045726720.000000,23072768464039745133597734957596815938521991353658224505575624882790213561871703678066608713857710625160845485869313552322122394098743640064.000000,inf,inf,nan
733,1541488550175600414981105505380765972581933923267108461064909642143400772288581563320279053898977748723447298354970493060517536228458333703412471874715648.000000,1541488550175563014767708150632605866576075238105788760095054115505290927928892524345069890895435076236741770936940998464205764196006585746951069878976512.000000,37400213397354748160106005858685161319700969855526638109844359689038975209163003542672486705527418029494596311772032451747956461401995739136.000000,inf,inf,nan
734,2494180867452919310757276547967988369302670845203231569951120413942220039106945221877384458351612802335878893233077873118394796451521476037901317589434368.000000,2494180867452858651704701733799330684934959743896812552457722893126181187060882402444955666614523691735550525380950434121391623901375854974187799924703232.000000,60659052574814168657684367711101306419017493397520816038852046062819432428791737089110600328367852127438997003172550145621063713517664731136.000000,inf,inf,nan
735,4035669417628519725738382053348754341884604768470340031016030056085620811395526785197663512250590551059326191588048366178912332679979809741313789464150016.000000,4035669417628421480401696464756572570884140162673440518020588672678048682928283936546367800480090396467383313594418649030391856893240889736280852878327808.000000,98245336685588592181771000464605796899512995441383407572128467242848651295711770500154591942877993629717148520475786738920005032936585822208.000000,inf,inf,nan
736,6529850285081439408637085440667470672441065252331893190031527141934687714625453987562363484661940096405023050268071806407718191539784387748931140904288256.000000,6529850285081280132106398198555903255819099906570253070478311565804229869989166338991323467094614088202933838975369083151783480794616744710468652803031040.000000,159276530687242111567416621965345761640119553215576130457844636287648571040017567326008202089211292702723255934710745167643038462488101257216.000000,inf,inf,nan
737,10565519702709959878658321172717680936833249298118876399176310541834002254266944733734658025032004133483985172750011306807452649036330401429676998069846016.000000,10565519702709702356790948342013931749210819346560336766627653582295972281163414236512322295694177970689953083463678866402997462504423838386181573382766592.000000,257521867372830703749187622429951558539632548656959538029973103530497222335729337826162794032089286332440404455186531906563043495424687079424.000000,inf,inf,nan
738,17095369987791400031578260292086607531781893827767412767336591027582383697138362682271652537813417715908644153911974247435992965392680993118040206675542016.000000,17095369987790983233180200219271290927537498530447233015234718491913895879398544536478276790908265544912522853332939083775603068115606787036082293887205376.000000,416798398060072815316604244395297320179752101872535668487817739818145793375746905152170996121300579035163660389897277074206081957912788336640.000000,inf,inf,nan
739,27660889690501358421670874107401376623599984571253002810255394881788998494913379494057048506606474877353357464874203285801801364795878986668853069342572544.000000,27660889690500685589971148561285222676748317877007569781862372074209868160561958772990599086602443515602475936796617950178600530620030625422263867269971968.000000,672831699725546116153946851666694245433028393022807579130334351420721066449420004031361750881528077585335623200834175848361246589202072600576.000000,inf,inf,nan
740,44756259678292764407511963829099631535442512617553561002622012659880932018019453864125749269375680481419089065937306607004371328721089611302349817629376512.000000,44756259678291668823151348780556513604285816407454802797097090566123764039960503309468875877510709060514998790129557033954203598735637412458346161157177344.000000,1095584360615048543117931156696210098758205524922093757167978058950554656873391864971420904090275807749573050167729985452198844003656472199168.000000,inf,inf,nan
741,72417149368794122829182837936501008159042497188806563812877407541669930512932833358182797775982155358772446530811509892806172693516968597971202886971949056.000000,72417149368792348458859667912230088900973500065929227153929435889824082374554750394662426739157364687960387279775045910366227130823138406365153486815887360.000000,1774370323170024270919258068997122877336658947971651845848138378082963520371036824790670812059251036463982439945562693830191606049400156061696.000000,inf,inf,nan
742,117173409047086893190957631195212287074545644024893270240529446952060412356919998910105595270313623728348623043899945573577121020770587840789009246212587520.000000,117173409047084011327748187263174955125198682254850884525996499705438296588547542016334254391712285860318298622753473870553853731026246187308043106361802752.000000,2881863209443932037331949346961770042385714532947246622115768372456893771340878601337868030324421146471703023267289744341653480966139850784768.000000,inf,inf,nan
743,189590558415881027928666127990936589993709409650766124903466907994749442521788255643882489496207354863435244469013713613916447711352615701791125216407060480.000000,189590558415876359786607855175405044026172182320780111679925935595262378963102292410996681130869650548278685902528519780920080861849384593673196593177690112.000000,4668142058272815531545967537227329986013223540972399487063558685963232885808365337704315156558566485193832996366849503231108117928623229370368.000000,inf,inf,nan
744,306763967462967921119623759186148877068255053675659395143996354946809854878708254553988084766520978591783867512913659187493568732123203542580134462619648000.000000,306763967462960347297304724720133409631128327701498414505802328298662476247778987676142742622758784855968634736677477356407626598745512254919413533094445056.000000,7573822319034466015467437126725974160980638194026648147378630929266877845342143762193735815232776236181831085942133377691287660720929525202944.000000,inf,inf,nan
745,496354525878848972865341204895532056582207000200558101747583369943597496704367356949058767162551485007847461770531889096476324437605937770433085845471756288.000000,496354525878836683266861262177091864137057973148145944485608156891886655907010433335951230853805283851618970850601480842261399466464778322530783959827087360.000000,12289598479942718440192445149027052412157261975213051710840797356923613107536308746201156228490919930408254214924971141159447902301885644668928.000000,inf,inf,nan
746,803118493341816941619067599518574112690947127624482660291819938894483750190817305005423237728718766704888028860654580874102509157989378365136872640981499904.000000,803118493341797030564165986897225273768186300849644358991410485190549132154789421012093973476564068707587605587278958198669026065210290577450197492921532416.000000,19911054901612621348838922760826774838301300409453703934618036027883993329264252154697997300423273375622675433483092779087787686675148059967488.000000,inf,inf,nan
747,1299473019220666009752614075287892527354124275321571088839883736846234044110668048959234776490562857923248889785604535150844065572115790239817263152233447424.000000,1299473019220633618562821978200530779824274126501259976676538214074282990846316467343292432731076746348693177283462373860665193555154594795733676786968428544.000000,32391189792097087361747529850148820311112163345522771951053264351581615942343759486111574555712502142161290178872016961195444083586365265018880.000000,inf,inf,nan
748,2102591512562483237176297487427825714287981845435644729533144959765176185947935514978916329017159443259677116109513311565742270659666590917696049790555521024.000000,2102591512562430649126987965097756053592460427350904335667948699264832123001105888355386406207640815056280782870741332059334219620364885373183874279889960960.000000,52588049309522330069660695521418084740393865196260500344062946829626623529922809518628203396333238771979506408051039301705544512175510665560064.000000,inf,inf,nan
749,3402064531783149246928911562715718241642106120757215818373028696611410230058603563938151105507722301182926005895117846716586336231782381157513312942788968448.000000,3402064531783064267689809943298286833416734553852164312344486913339115113847422355698678838938717561404973960154203705919999413175519480168917551066858389504.000000,84979239101619417431408225371566905051506028541783272295116211181208239472266569004739777952045740914140796586923056262900988595761875930578944.000000,inf,inf,nan
750,5504656044345632865178030133638689388253968556178981855108095368409197604868472626936078520922052169284656718622303419003389534797530868492198581396465254400.000000,5504656044345494916816797908396042887009194981203068648012435612603947236848528244054065245146358376461254743024945037979333632795884365542101425346748350464.000000,137948361232225242646501244773574975913207095659755805250368019944382882013275775693792823401975597358381024055902001646502950097156049716903936.000000,inf,inf,nan
751,8906720576128781731034120612859262197572194086950076366279202352987996646065142642855218540032604045625529127899749004998914943123231353232722675676133457920.000000,8906720576128559184506607851694329720425929535055232960356922525943062350695950599752744084085075937866228703179148743899333045971403845711018976413606739968.000000,222546527512761164932477146264551894843405922279827044934295369192043102474455947528107759300424720600261099581897151827507521703699262526717952.000000,inf,inf,nan
752,14411376620474414596212150746497951585826162643129058221387297721397194250933615269791297060954656214910185846522052424002304477920762221724921257072598712320.000000,14411376620474054863469047927080663472082885696230544222773201562612231965268345939844831502025775164011590639439438303320788534579452004087098839086596620288.000000,359732743102819417288113743276946898513998614096158784962285665269329946465558928881050898595207082614120681515943341310217637822417986002092032.000000,inf,inf,nan
753,23318097196603197851537555693337795512693879090023619816474186922515635652446492104722559946575941959903929360892490471885463132668321160625600807401215229952.000000,23318097196602615572266940112755574921804337591230262411937810936685739071412030731673619931699532801246033729089276090104365292175183435466074690152686419968.000000,582279270615580582220590889541498793357404536375985829896581034461373048940014876409158657895631803214381781097840493137725159526117248528809984.000000,inf,inf,nan
754,37729473817077618544914843775758074015702131172930618953092232036434608925171044142818034389885324972286972753297299067424742457086393725022349563083746181120.000000,37729473817076673484318556707797401852478268007349777092326386195558860547575845055670540124902671363994053141470092479193641250003290610889087278544249159680.000000,945060596287067960672163223863165580841860765845840875748377595199087147494264982653608292919611827206588231101207083103114133262284539497021440.000000,inf,inf,nan
755,61047571013680819445034968137057032986987054982843209227181792655211134088513004631692683027638630330927330887131167625078693013003370056983864119789927530496.000000,61047571013679295153750634156475303691464695038357980419494944524766378640778812555648337438956930962712944416442124740834981388675784389026989467306867818496.000000,1524291284333980581729295522359944485228807686848130444755447734192076044345588681699368214386470689042884243711624327585667956874652483059712000.000000,inf,inf,nan
756,98777044830758444087114949248737433919871275595551769095504772084167522035474985542814894799878682100687161186311222864040410316587074124678041181483605950464.000000,98777044830755968638069190864272705543942963045707757511821330720325239188354657611318877563859602326706997557912217220028622638679074999916076745851116978176.000000,2475449045758384464728375928312549844011583683441363842282847120327931496017236019079773980163628399005644011787677907999124761964435632488972288.000000,inf,inf,nan
757,159824615844439251337819642713949813072494151698839096492225069954335098080406116637899223062807858836668776981676878146045153636595823496318250304053669003264.000000,159824615844435275986150099692592663069771836963621619761777770030135175872715343703575569767525986884365657066119854303937553720349480074286721210377849274368.000000,3975351669543021357150002722314735217476730447299924199922207690772934323653295281871952303119915557023842107599916246343422031529093675819728896.000000,inf,inf,nan
758,258601660675197719813595141306376554661093785053502629248652831608589736203044849253930827392105448127247368351519125696233463339172138991683601479977003909120.000000,258601660675191232429889015885020714779350621129773495443137605965416857017488127778286092566676135616126939532266559180892226666033934388859142959009101774848.000000,6487383706125421355839881743163923729133805515225643172879185556721475644734825429312511120428819252566515341236673138204602824458520967902134272.000000,inf,inf,nan
759,418426276519636995540075333364015675402316294511453489401800891133011950370614712965046759984332214153807575516727028528426516361757203858689161778470401867776.000000,418426276519626508416039115577613377849122458093395115204915375995552032890203471481861662334202122500492596598386413484829780386383414463145864169386951049216.000000,10487124036217786402297553193836418058374196885515137459917480411241483185097650130091653314978918340615043596735975373789395543297609083450818560.000000,inf,inf,nan
